as_of_date,ticker,net_flow_usd,aum_usd,source
2025-05-19,US_BTC_SPOT,667438126.07,124973229522.01012,SOSOVALUE
2025-05-16,US_BTC_SPOT,260266134.59,122665639298.53523,SOSOVALUE
2025-05-15,US_BTC_SPOT,114958483.23,121469162844.60068,SOSOVALUE
2025-05-14,US_BTC_SPOT,319558528.8,121844538030.37532,SOSOVALUE
2025-05-13,US_BTC_SPOT,-96142497.0,122920414537.81525,SOSOVALUE
2025-05-12,US_BTC_SPOT,5096682.809999996,119673446153.40028,SOSOVALUE
2025-05-09,US_BTC_SPOT,334584629.5,121233114292.33636,SOSOVALUE
2025-05-08,US_BTC_SPOT,117461399.29,118660307913.6036,SOSOVALUE
2025-05-07,US_BTC_SPOT,142307651.555,112711514975.82916,SOSOVALUE
2025-05-06,US_BTC_SPOT,-85635334.25,111151963134.41805,SOSOVALUE
2025-05-05,US_BTC_SPOT,425452985.31,110684499816.54497,SOSOVALUE
2025-05-02,US_BTC_SPOT,674913599.9999934,113149486148.63528,SOSOVALUE
2025-05-01,US_BTC_SPOT,422448326.7800066,111986220453.59009,SOSOVALUE
2025-04-30,US_BTC_SPOT,-56233632.01499997,108583018201.60144,SOSOVALUE
2025-04-29,US_BTC_SPOT,172781570.075,110170761489.31532,SOSOVALUE
2025-04-28,US_BTC_SPOT,591288600.91,109301055703.21016,SOSOVALUE
2025-04-25,US_BTC_SPOT,379994959.58,109273098662.22708,SOSOVALUE
2025-04-24,US_BTC_SPOT,441997650.3200063,106967130235.35391,SOSOVALUE
2025-04-23,US_BTC_SPOT,916908282.6749938,106387900988.97935,SOSOVALUE
2025-04-22,US_BTC_SPOT,936433322.75,103344585832.48177,SOSOVALUE
2025-04-21,US_BTC_SPOT,381399377.16,97611327206.23633,SOSOVALUE
2025-04-17,US_BTC_SPOT,107829223.57,94507003946.61311,SOSOVALUE
2025-04-16,US_BTC_SPOT,-169867570.37,93650024845.57256,SOSOVALUE
2025-04-15,US_BTC_SPOT,76415057.04,93719255819.81915,SOSOVALUE
2025-04-14,US_BTC_SPOT,1470471.939999996,94691967762.52324,SOSOVALUE
2025-04-11,US_BTC_SPOT,-1027074.599999999,93357800630.8878,SOSOVALUE
2025-04-10,US_BTC_SPOT,-149664572.645,88612809441.93797,SOSOVALUE
2025-04-09,US_BTC_SPOT,-127121657.74,91790024184.00555,SOSOVALUE
2025-04-08,US_BTC_SPOT,-326272921.74,85756010628.22324,SOSOVALUE
2025-04-07,US_BTC_SPOT,-109209809.815,87858584458.683,SOSOVALUE
2025-04-04,US_BTC_SPOT,-64877645.669999994,94450421277.10512,SOSOVALUE
2025-04-03,US_BTC_SPOT,-99859088.38,92177467739.81984,SOSOVALUE
2025-04-02,US_BTC_SPOT,220762938.99499997,97354213139.16104,SOSOVALUE
